逼 bī 	 ヒツ ヒョク 
适 shì 	 カツ 
执 zhí 	 シュウ 
妻 qì qī 	 サイ セイ 
泣 qì 	 キュウ 
抵 dǐ 	 テイ シ 
殖 zhí 	 ショク 
肌 jī 	 キ 
逝 shì 	 セイ 
饰 shì 	 ショク 
驰 chí 	 ジ チ 
蹄 tí 	 テイ 
尼 ní nǐ 	 ニ ジ 
寂 jì 	 ジャク セキ 
尸 shī 	 シ 
剂 jì 	 ザイ スイ セイ 
施 shī 	 シ セ 
肢 zhī 	 シ 
蔽 bì 	 ヘイ 
弃 qì 	 キ 
址 zhǐ 	 シ 
嘻 xī 	 キ イ 
批 pī 	 ヒ 
肆 sì 	 シ 
笠 lì 	 リュウ 
晰 xī 	 セキ 
汲 jí 	 キュウ 
撕 sī 	 シ サイ セイ 
龇 zī 	 サイ ゼ サ ジャ シ 
置 zhì 	 チ 
忌 jì 	 キ 
讥 jī 	 キ 
趾 zhǐ 	 シ 
炙 zhì 	 シャ セキ 
栎 lì yuè 	 レキ ロウ ヤク 
脂 zhī 	 シ 
拭 shì 	 ショク シキ 
袭 xí 	 シュウ 
释 shì 	 シャク セキ 
寄 jì 	 キ 
笛 dí 	 テキ ジャク 
凄 qī 	 セイ 
帜 zhì 	 シ 
漓 lí 	 リ 
藉 jí jiè 	 シャ セキ 
赐 cì 	 シ 
咨 zī 	 シ 
迪 dí 	 テキ 
歧 qí 	 キ 
掷 zhì 	 チャク テキ 
吉 jí 	 キチ キツ 
脾 pí 	 ヒ 
熄 xī 	 ソク 
僻 pì 	 ヘイ ヘキ 
璧 bì 	 ヘキ 
祭 jì zhài 	 サイ 
涕 tì 	 テイ 
俐 lì 	 リ 
